TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals;;;;;;;
br.com.petdelivery.controller.HomePrestadorController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5547726034858388,176,100
br.com.petdelivery.controller.HomeUsuarioController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.49198357821953326,275,149
br.com.petdelivery.controller.IndexController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7083333333333334,111,69
br.com.petdelivery.controller.LoginController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.38046875,85,15
br.com.petdelivery.jdbc.ConnectionFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.724702380952381,108,94
br.com.petdelivery.jdbc.dao.Agenda_ServicoDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.23484848484848483,124,6
br.com.petdelivery.jdbc.dao.AnimalDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20263364779874216,143,6
br.com.petdelivery.jdbc.dao.AutonomoDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.21048728813559323,196,6
br.com.petdelivery.jdbc.dao.HelperDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2900641025641026,33,6
br.com.petdelivery.jdbc.dao.PetshopDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.21282894736842103,93,6
br.com.petdelivery.jdbc.dao.PrestadorDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.141889584293044,574,6
br.com.petdelivery.jdbc.dao.Raca_AnimalDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18668478260869564,126,6
br.com.petdelivery.jdbc.dao.ServicoDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20467342342342343,83,6
br.com.petdelivery.jdbc.dao.Servico_AutonomoDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.19281914893617022,129,6
br.com.petdelivery.jdbc.dao.Servico_PetshopDAO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2363095238095238,92,6
